dates,rate,fluctuation,prices,anger,depression,fatigue,tension,confusion,vigour
2018-06-15,-0.004960514197988339,1.25,250.74000549316406,-0.68155205,8.523033e-05,2.8101509,1.2873726,-0.4480311,-0.20963514
2018-06-18,-0.004028115751367549,1.010009765625,249.72999572753906,2.8885946,0.18206254,-0.36173558,-0.44810465,-0.3726425,-0.26588085
2018-06-19,-0.011412288845894049,2.8499908447265625,246.8800048828125,1.7313159,0.325947,-0.29571295,-0.12321456,-0.13938862,-0.26082292
2018-06-20,-0.0017012239170388654,0.4199981689453125,246.4600067138672,1.5281448,0.3647879,-0.34478638,-0.44884792,0.49566916,-0.26463765
2018-06-21,-0.007952635967192428,1.9600067138671875,244.5,-0.2879559,0.5964119,-0.36401963,0.82395804,-0.20292859,-0.26582032
2018-06-22,0.004867085649923313,-1.19000244140625,245.69000244140625,-0.41201544,0.91870743,-0.30471268,-0.44855395,-0.44686037,-0.22111535
2018-06-25,-0.013757193411313451,3.3800048828125,242.30999755859375,-0.5957643,0.9763255,-0.3644845,-0.44666764,-0.435787,-0.26588032
2018-06-26,0.00148570267004567,-0.3600006103515625,242.6699981689453,-0.68354744,0.9992333,-0.3645071,-0.44790277,-0.4562996,-0.26588044
2018-06-27,-0.006387287524017329,1.5500030517578125,241.1199951171875,2.2282934,0.3382515,-0.36347964,-0.43618828,-0.4421074,-0.26588002
2018-06-28,0.003981447964946298,-0.9600067138671875,242.0800018310547,1.2553642,0.34817472,-0.34521317,-0.026431816,0.3899512,-0.26194063
2018-06-29,0.0026850375560472754,-0.649993896484375,242.72999572753906,-0.6818374,0.9987558,-0.36450496,-0.44895667,-0.45398635,-0.26587334
2018-07-02,0.0,0.0,242.72999572753906,1.3768855,0.5145187,-0.35548246,-0.40772334,-0.38826075,-0.2633847
2018-07-03,-0.004408157558865276,1.0699920654296875,241.66000366210938,-0.5239386,0.9591321,-0.36447185,-0.42737263,-0.45896685,-0.26587996
2018-07-05,0.00782090276010691,-1.8899993896484375,243.5500030517578,-0.63298213,0.98816746,-0.36449394,-0.44892368,-0.4570856,-0.2658811
2018-07-06,0.004311242203247569,-1.0500030517578125,244.60000610351562,0.15779196,0.17351915,-0.34687087,-0.449013,-0.4241246,3.9431179
2018-07-09,0.013246075852523995,-3.239990234375,247.83999633789062,-0.68243045,0.0818249,3.122601,0.42717284,-0.45674232,0.11159741
2018-07-10,0.00560845468926409,-1.3899993896484375,249.22999572753906,1.1643407,0.018391574,1.8726978,-0.44491732,0.22231665,0.002338259
2018-07-11,-0.008626545493483745,2.149993896484375,247.0800018310547,-0.48384613,0.8645128,-0.3635353,-0.35882488,0.0478842,-0.26587823
2018-07-12,0.008984949021576785,-2.220001220703125,249.3000030517578,0.9190395,0.06849141,-0.31811744,-0.39965707,3.066906,0.14085099
2018-07-13,0.003610083776443135,-0.899993896484375,250.1999969482422,-0.050714128,0.53214747,-0.34993875,0.1932906,0.8480944,-0.26486623
2018-07-16,0.0018785021040601858,-0.470001220703125,250.6699981689453,0.33611342,0.7661848,-0.3579977,-0.4460031,-0.4449278,-0.26588014
2018-07-17,0.0024334807308708612,-0.6100006103515625,251.27999877929688,-0.68346405,0.9778896,-0.36450657,-0.44906476,-0.30094013,-0.26588023
2018-07-18,0.0029847182570974804,-0.75,252.02999877929688,-0.68396676,1.7230982e-06,4.844906,-0.44894198,-0.45906457,-0.2657013
2018-07-19,-0.0049200710199976535,1.2400054931640625,250.7899932861328,-0.63877714,0.00861,-0.09565764,-0.44717783,6.2255964,-0.26139575
2018-07-20,-0.001395553467427422,0.3499908447265625,250.44000244140625,0.003978048,0.51789814,-0.33384869,0.33367628,0.58520555,-0.23390256
2018-07-23,-0.0007187667018667584,0.1800079345703125,250.25999450683594,-0.66754234,0.12537456,0.16342185,-0.38031286,1.2132573,3.2314923
2018-07-24,0.007791945376143548,-1.95001220703125,252.2100067138672,-0.6741403,0.0020994416,4.8203964,-0.4491826,-0.45572248,-0.2658316
2018-07-25,0.007176549345431786,-1.80999755859375,254.02000427246094,-0.52816474,0.9047962,-0.36387953,-0.43933517,-0.044323236,-0.2645421
2018-07-26,0.0043303315732044325,-1.0999908447265625,255.1199951171875,-0.62277377,0.97167873,-0.36362696,-0.44093862,-0.36877617,-0.2658279
2018-07-27,-0.0033709651411545673,0.8600006103515625,254.25999450683594,-0.48732936,0.3147181,2.89638,-0.38986304,-0.44417512,-0.2658731
2018-07-30,-0.00546684267945686,1.3899993896484375,252.8699951171875,-0.11442603,0.15441115,-0.3558557,-0.42396745,4.649147,-0.26237944
2018-07-31,0.0051409936997679475,-1.3000030517578125,254.1699981689453,-0.06530746,0.7272671,-0.36441028,-0.44919157,0.49058282,-0.25666946
2018-08-01,-0.004170427533658696,1.05999755859375,253.11000061035156,-0.64614123,0.97482187,-0.36447123,-0.4246522,-0.37793013,-0.26588017
2018-08-02,-3.948681131459311e-05,0.0099945068359375,253.10000610351562,0.2914134,0.525643,-0.2622893,0.53076434,-0.31980392,-0.2586335
2018-08-03,0.0050967730344708756,-1.2899932861328125,254.38999938964844,-0.66371614,0.87395024,-0.36233044,0.070985354,-0.4071446,-0.2658811
2018-08-06,0.0018082735758908374,-0.4600067138671875,254.85000610351562,1.6952362,0.397299,-0.36366192,-0.43667427,-0.019785134,-0.2486641
2018-08-07,0.004983280295296629,-1.269989013671875,256.1199951171875,-0.31074724,7.477897e-05,-0.31887954,3.391625,0.018619172,-0.26545462
2018-08-08,-0.0019522099388266246,0.5,255.6199951171875,-0.345774,0.5978803,-0.34885612,0.7804907,-0.08348318,-0.25527522
2018-08-09,-0.0017995128075456092,0.459991455078125,255.16000366210938,-0.68367606,0.999769,-0.3645023,-0.4490375,-0.4581653,-0.26588097
2018-08-10,-0.007289546103058659,1.8600006103515625,253.3000030517578,-0.64506114,0.988337,-0.36445197,-0.4412751,-0.4510417,-0.2656723
2018-08-13,-0.0049743772224413955,1.260009765625,252.0399932861328,2.944226,0.068980776,-0.36431846,-0.009158541,-0.33691132,-0.26584664
2018-08-14,0.004642173698227713,-1.170013427734375,253.2100067138672,2.499791,0.022056624,0.9223656,-0.44433728,-0.38308066,-0.25394258
2018-08-15,-0.00572652015553949,1.45001220703125,251.75999450683594,0.33436853,0.7502905,-0.36448893,-0.4472406,-0.3167463,-0.26587865
2018-08-16,0.016603145955569262,-4.1800079345703125,255.94000244140625,-0.116108075,0.13864507,-0.10944596,-0.44870862,-0.18182285,4.0590415
2018-08-17,0.0022271130686155436,-0.57000732421875,256.510009765625,-0.68334734,0.9993393,-0.36450717,-0.44915715,-0.45541036,-0.2658806
2018-08-20,0.0035865380497113733,-0.91998291015625,257.42999267578125,-0.2533716,0.8922207,-0.36319837,-0.44874153,-0.38445744,-0.26577073
2018-08-21,0.0024861697030134433,-0.6400146484375,258.07000732421875,-0.6129372,0.9631057,-0.35448146,-0.42807987,-0.36590993,-0.2565308
2018-08-22,-0.003448733379231303,0.8900146484375,257.17999267578125,0.43557647,0.7258517,-0.36430505,-0.40446866,-0.37274885,-0.26580384
2018-08-23,-0.0026829553661124584,0.69000244140625,256.489990234375,-0.5319917,0.95989287,-0.3638696,-0.44888932,-0.41830358,-0.26588103
2018-08-24,0.005302413041140015,-1.360015869140625,257.8500061035156,0.29033223,0.74213994,-0.33671686,-0.3170932,-0.43014017,-0.265815
2018-08-27,0.010587474904514955,-2.72998046875,260.5799865722656,0.7616491,0.013273903,-0.32263094,-0.44508138,-0.20739475,3.8663418
2018-08-28,0.00023036334049095382,-0.060028076171875,260.6400146484375,-0.3023167,0.8465725,-0.18454306,-0.37496883,-0.341635,-0.26380917
2018-08-29,0.0026472217811942225,-0.689971923828125,261.3299865722656,0.7792689,0.48267302,-0.3543534,-0.30785877,0.65134746,-0.26299104
2018-08-30,-0.0050509963435658445,1.319976806640625,260.010009765625,-0.6351504,0.95167106,-0.36430043,-0.29855484,-0.4280219,-0.26588103
2018-08-31,-0.0006153750090375502,0.160003662109375,259.8500061035156,-0.68356794,0.99876374,-0.3642106,-0.44874254,-0.4519714,-0.26588103
2018-09-04,-0.00046178608569937045,0.1199951171875,259.7300109863281,-0.669236,0.9897347,-0.3644897,-0.4487012,-0.40990087,-0.26588085
2018-09-05,0.00073153826423336,-0.19000244140625,259.9200134277344,-0.6828769,1.2386892e-06,0.23987536,-0.4480788,-0.45565388,5.647742
2018-09-06,0.0014234960683024505,-0.3699951171875,260.2900085449219,3.2698545,0.00010803955,0.07233433,-0.4490176,-0.41079447,-0.14391957
2018-09-07,-0.0028814014191042682,0.75,259.5400085449219,2.8059664,0.20254953,-0.36379877,-0.42975798,-0.41212717,-0.26588082
2018-09-10,-0.002311805824772385,0.600006103515625,258.94000244140625,-0.680372,0.99083716,-0.36450619,-0.44885835,-0.39956608,-0.26581803
2018-09-11,0.004209455192761392,-1.089996337890625,260.0299987792969,-0.68113154,0.93401736,-0.3641393,-0.15266088,-0.45643178,-0.26588044
2018-09-12,0.0008460609227239712,-0.220001220703125,260.25,-0.45841086,0.8721572,-0.36093277,-0.44895786,-0.33184066,0.12652643
2018-09-13,0.005878957845521134,-1.529998779296875,261.7799987792969,-0.6838919,0.00048713767,-0.36450607,4.117397,-0.459025,-0.2658775
2018-09-14,0.00042026079018121575,-0.110015869140625,261.8900146484375,-0.64653563,0.570489,-0.3623612,1.4372745,-0.4035287,-0.2655138
2018-09-17,-0.003474755092632946,0.910003662109375,260.9800109863281,0.6874636,0.51287156,-0.35777876,-0.4356929,0.7919885,-0.26571336
2018-09-18,0.0073951743219229,-1.92999267578125,262.9100036621094,-0.49370193,0.95586395,-0.3644806,-0.44861042,-0.45102468,-0.2658771
2018-09-19,0.005743447356859258,-1.510009765625,264.4200134277344,-0.6586778,0.30481148,-0.35473803,2.5100508,-0.34907946,-0.100830026
